# ----------------------------------------
# All Web Site Data
# Searches by Player and Date
# 20191020-20191026
# ----------------------------------------

Event Label,Date,Total Events,Unique Events,Event Value,Avg. Value
72818,20191026,1,1,"72,818","72,818.00"
36400,20191021,2,2,"72,800","36,400.00"
72741,20191025,1,1,"72,741","72,741.00"
72683,20191025,1,1,"72,683","72,683.00"
72683,20191026,1,1,"72,683","72,683.00"
72648,20191021,1,1,"72,648","72,648.00"
72629,20191025,1,1,"72,629","72,629.00"
72545,20191025,1,1,"72,545","72,545.00"
72475,20191023,1,1,"72,475","72,475.00"
72469,20191025,1,1,"72,469","72,469.00"
72431,20191022,1,1,"72,431","72,431.00"
72431,20191024,1,1,"72,431","72,431.00"
36202,20191025,2,1,"72,404","36,202.00"
72361,20191023,1,1,"72,361","72,361.00"
72341,20191023,1,1,"72,341","72,341.00"
72341,20191024,1,1,"72,341","72,341.00"
72312,20191021,1,1,"72,312","72,312.00"
36095,20191022,2,1,"72,190","36,095.00"
72157,20191021,1,1,"72,157","72,157.00"
72109,20191023,1,1,"72,109","72,109.00"
72109,20191024,1,1,"72,109","72,109.00"
72109,20191025,1,1,"72,109","72,109.00"
72082,20191023,1,1,"72,082","72,082.00"
72054,20191022,1,1,"72,054","72,054.00"
72054,20191024,1,1,"72,054","72,054.00"
72046,20191026,1,1,"72,046","72,046.00"
72023,20191023,1,1,"72,023","72,023.00"
71977,20191026,1,1,"71,977","71,977.00"
71963,20191025,1,1,"71,963","71,963.00"
71916,20191025,1,1,"71,916","71,916.00"
71866,20191026,1,1,"71,866","71,866.00"
71814,20191020,1,1,"71,814","71,814.00"
71796,20191023,1,1,"71,796","71,796.00"
71781,20191020,1,1,"71,781","71,781.00"
71781,20191025,1,1,"71,781","71,781.00"
71780,20191023,1,1,"71,780","71,780.00"
71734,20191025,1,1,"71,734","71,734.00"
71734,20191026,1,1,"71,734","71,734.00"
71725,20191025,1,1,"71,725","71,725.00"
71698,20191023,1,1,"71,698","71,698.00"
71676,20191020,1,1,"71,676","71,676.00"
71676,20191024,1,1,"71,676","71,676.00"
71662,20191021,1,1,"71,662","71,662.00"
71662,20191022,1,1,"71,662","71,662.00"
71662,20191025,1,1,"71,662","71,662.00"
71651,20191020,1,1,"71,651","71,651.00"
71651,20191023,1,1,"71,651","71,651.00"
71630,20191025,1,1,"71,630","71,630.00"
35805,20191021,2,1,"71,610","35,805.00"
71595,20191025,1,1,"71,595","71,595.00"
71593,20191026,1,1,"71,593","71,593.00"
35796,20191022,2,1,"71,592","35,796.00"
35796,20191024,2,2,"71,592","35,796.00"
71590,20191020,1,1,"71,590","71,590.00"
71560,20191020,1,1,"71,560","71,560.00"
71479,20191020,1,1,"71,479","71,479.00"
71437,20191026,1,1,"71,437","71,437.00"
35714,20191020,2,1,"71,428","35,714.00"
35697,20191020,2,2,"71,394","35,697.00"
35697,20191022,2,2,"71,394","35,697.00"
71283,20191023,1,1,"71,283","71,283.00"
71128,20191026,1,1,"71,128","71,128.00"
70994,20191025,1,1,"70,994","70,994.00"
70979,20191025,1,1,"70,979","70,979.00"
70885,20191025,1,1,"70,885","70,885.00"
70794,20191020,1,1,"70,794","70,794.00"
70772,20191024,1,1,"70,772","70,772.00"
70772,20191026,1,1,"70,772","70,772.00"
70623,20191026,1,1,"70,623","70,623.00"
70607,20191022,1,1,"70,607","70,607.00"
70599,20191023,1,1,"70,599","70,599.00"
70554,20191021,1,1,"70,554","70,554.00"
70536,20191020,1,1,"70,536","70,536.00"
70446,20191020,1,1,"70,446","70,446.00"
70446,20191022,1,1,"70,446","70,446.00"
70446,20191024,1,1,"70,446","70,446.00"
70387,20191022,1,1,"70,387","70,387.00"
70331,20191022,1,1,"70,331","70,331.00"
70324,20191025,1,1,"70,324","70,324.00"
70313,20191023,1,1,"70,313","70,313.00"
70301,20191020,1,1,"70,301","70,301.00"
70300,20191025,1,1,"70,300","70,300.00"
70299,20191022,1,1,"70,299","70,299.00"
70299,20191024,1,1,"70,299","70,299.00"
35149,20191021,2,2,"70,298","35,149.00"
35149,20191024,2,2,"70,298","35,149.00"
70298,20191020,1,1,"70,298","70,298.00"
70298,20191024,1,1,"70,298","70,298.00"
70274,20191024,1,1,"70,274","70,274.00"
70274,20191025,1,1,"70,274","70,274.00"
70235,20191025,1,1,"70,235","70,235.00"
70234,20191022,1,1,"70,234","70,234.00"
70234,20191024,1,1,"70,234","70,234.00"
35107,20191025,2,1,"70,214","35,107.00"
70164,20191024,1,1,"70,164","70,164.00"
70140,20191023,1,1,"70,140","70,140.00"
70136,20191023,1,1,"70,136","70,136.00"
